"item_id","order_id","store_id","created_at","updated_at","product_type","sku","name","qty_invoiced","qty_ordered","qty_shipped","price","base_price","original_price","base_original_price","row_total","base_row_total","row_invoiced","base_row_invoiced","price_incl_tax","base_price_incl_tax","row_total_incl_tax","base_row_total_incl_tax"
1000,3551,1,"2013-11-12 14:04:39","2013-11-12 14:04:39","simple","MH04-XL-Green","Frankie  Sweatshirt-XL-Green",1,1,1,60,60,60,60,60,60,60,60,60,60,60,60
1001,2694,1,"2013-12-15 14:04:39","2013-12-15 14:04:39","simple","MH11-S-Orange","Grayson Crewneck Sweatshirt -S-Orange",4,4,4,64,64,64,64,256,256,256,256,256,256,256,256
1002,1175,1,"2013-12-16 14:04:39","2013-12-16 14:04:39","simple","MH02","Teton Pullover Hoodie",2,2,2,70,70,70,70,140,140,140,140,140,140,140,140
1003,1111,1,"2013-12-20 14:04:39","2013-12-20 14:04:39","simple","MH01-L-Gray","Chaz Kangeroo Hoodie-L-Gray",3,3,3,52,52,52,52,156,156,156,156,156,156,156,156
1004,1456,1,"2013-12-21 14:04:39","2013-12-21 14:04:39","simple","MH12-L-Red","Ajax Full-Zip Sweatshirt -L-Red",3,3,3,69,69,69,69,207,207,207,207,207,207,207,207
1005,2528,1,"2013-12-28 14:04:39","2013-12-28 14:04:39","simple","MH07-M-Black","Hero Hoodie-M-Black",4,4,4,54,54,54,54,216,216,216,216,216,216,216,216
1006,2176,1,"2014-01-04 14:04:39","2014-01-04 14:04:39","simple","MH05-XL-White","Hollister Backyard Sweatshirt-XL-White",4,4,4,52,52,52,52,208,208,208,208,208,208,208,208
1007,2930,1,"2014-01-06 14:04:39","2014-01-06 14:04:39","simple","MH07-XL-Green","Hero Hoodie-XL-Green",1,1,1,54,54,54,54,54,54,54,54,54,54,54,54
1008,1730,1,"2014-01-06 14:04:39","2014-01-06 14:04:39","simple","MH09-L-Red","Abominable Hoodie-L-Red",2,2,2,69,69,69,69,138,138,138,138,138,138,138,138
1009,1758,1,"2014-01-07 14:04:39","2014-01-07 14:04:39","simple","MH11-XS-Red","Grayson Crewneck Sweatshirt -XS-Red",4,4,4,64,64,64,64,256,256,256,256,256,256,256,256
1010,1122,1,"2014-01-08 14:04:39","2014-01-08 14:04:39","simple","MH02-XL-Purple","Teton Pullover Hoodie-XL-Purple",2,2,2,70,70,70,70,140,140,140,140,140,140,140,140
1011,1145,1,"2014-01-13 14:04:39","2014-01-13 14:04:39","simple","MH06-L-Blue","Stark Fundamental Hoodie-L-Blue",2,2,2,42,42,42,42,84,84,84,84,84,84,84,84
1012,2617,1,"2014-01-14 14:04:39","2014-01-14 14:04:39","simple","MH10-XL-Blue","Mach Street Sweatshirt -XL-Blue",2,2,2,62,62,62,62,124,124,124,124,124,124,124,124
